,Case Number,Area of Impact,Standard of Evenidence,Event Number,Vehicle 1,Vehicle 2
0,60005,Non-Collision,Rollover/Overturn,1,1,9999
1,60005,Other Objects Set-In-Motion,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,1,2
2,60005,Not Reported,Motor Vehicle In-Transport ,3,1,2
3,60005,Non-Collision,Fire/Explosion,4,1,9999
4,60005,Non-Collision,Fire/Explosion,5,2,9999
0,60006,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60006,12 Clock Point,Parked Motor Vehicle ,2,1,2
2,60006,Non-Harmful Event,Re-entering Roadway,3,1,5555
3,60006,Non-Harmful Event,Cross Centerline,4,1,5555
4,60006,Non-Harmful Event,Ran Off Roadway - Left,5,1,5555
5,60006,Not Reported,Other Fixed Object,6,1,9999
6,60006,12 Clock Point,Wall,7,1,9999
0,60007,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60007,12 Clock Point,Parked Motor Vehicle ,2,1,2
2,60007,9 Clock Point,Parked Motor Vehicle ,3,1,3
3,60007,Undercarriage,Curb,4,1,9999
4,60007,Other Objects Set-In-Motion,Parked Motor Vehicle ,5,1,4
0,60007,1 Clock Point,Pedestrian,1,1,9999
1,60007,Other Objects Set-In-Motion,Concrete Traffic Barrier,2,1,9999
0,60008,12 Clock Point,Pedestrian,1,1,9999
1,60008,12 Clock Point,Pedestrian,2,2,9999
0,60009,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60009,12 Clock Point,Embankment,2,1,9999
2,60009,Non-Harmful Event,Vehicle Went Airborne,3,1,5555
3,60009,6 Clock Point,Tree (Standing Only),4,1,9999
4,60009,6 Clock Point,Tree (Standing Only),5,1,9999
5,60009,Non-Collision,Rollover/Overturn,6,1,9999
6,60009,Top,Other Fixed Object,7,1,9999
7,60009,Top,Other Fixed Object,8,1,9999
0,60009,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60009,Right-Front Side,Guardrail Face,2,1,9999
2,60009,Undercarriage,Curb,3,1,9999
3,60009,Not Reported,Fence,4,1,9999
4,60009,Non-Harmful Event,Vehicle Went Airborne,5,1,5555
5,60009,Undercarriage,Ground,6,1,9999
0,60010,12 Clock Point,Pedestrian,1,1,9999
0,60011,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60011,12 Clock Point,Curb,2,1,9999
2,60011,Non-Collision,Rollover/Overturn,3,1,9999
0,60014,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60014,Right,Tree (Standing Only),2,1,9999
2,60014,6 Clock Point,Tree (Standing Only),3,1,9999
0,60016,Unknown,Pedestrian,1,1,9999
0,60016,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60016,Non-Harmful Event,Re-entering Roadway,2,1,5555
2,60016,Non-Harmful Event,Cross Centerline,3,1,5555
3,60016,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,60016,Non-Collision,Rollover/Overturn,5,1,9999
0,60017,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
0,60017,12 Clock Point,Pedalcyclist,1,1,9999
0,60017,Non-Harmful Event,Ran Off Roadway - Right,1,1,5555
1,60017,Non-Harmful Event,Re-entering Roadway,2,1,5555
2,60017,Non-Harmful Event,Cross Centerline,3,1,5555
3,60017,Non-Harmful Event,Ran Off Roadway - Left,4,1,5555
4,60017,Right,Fence,5,1,9999
5,60017,Non-Collision,Rollover/Overturn,6,1,9999
0,60022,Non-Collision,Rollover/Overturn,1,1,9999
1,60022,Non-Harmful Event,Ran Off Roadway - Left,2,1,5555
2,60022,Not Reported,Fence,3,1,9999
3,60022,Not Reported,Fence,4,1,9999
4,60022,Not Reported,Other Fixed Object,5,1,9999
5,60022,Not Reported,Traffic Sign Support ,6,1,9999
6,60022,Not Reported,Tree (Standing Only),7,1,9999
7,60022,Not Reported,Building,8,1,9999
0,60022,Non-Harmful Event,Ran Off Roadway - Left,1,1,9999
1,60022,12 Clock Point,Parked Motor Vehicle ,2,1,2
2,60022,Not Reported,Parked Motor Vehicle ,3,1,3
3,60022,Non-Collision,Fire/Explosion,4,1,9999
0,60023,12 Clock Point,Motor Vehicle In-Transport ,1,2,1
1,60023,Non-Harmful Event,Ran Off Roadway - Right,2,1,5555
2,60023,Left,Traffic Signal Support,3,1,9999
3,60023,Not Reported,"Post, Pole or Other Supports",4,1,9999
4,60023,Non-Harmful Event,Cross Median,5,2,5555
5,60023,Not Reported,Parked Motor Vehicle ,6,2,3
0,60025,Non-Harmful Event,Ran Off Roadway - Left,1,1,5555
1,60025,Not Reported,Curb,2,1,9999
