,Area of Impact,Case Number,Event Number,Standard of Evenidence,Vehicle 1,Vehicle 2
0,Non-Collision,60005,1,Rollover/Overturn,1,9999
1,Other Objects Set-In-Motion,60005,2,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
2,Not Reported,60005,3,Motor Vehicle In-Transport ,1,2
3,Non-Collision,60005,4,Fire/Explosion,1,9999
4,Non-Collision,60005,5,Fire/Explosion,2,9999
0,Non-Harmful Event,60006,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60006,2,Parked Motor Vehicle ,1,2
2,Non-Harmful Event,60006,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,60006,4,Cross Centerline,1,5555
4,Non-Harmful Event,60006,5,Ran Off Roadway - Left,1,5555
5,Not Reported,60006,6,Other Fixed Object,1,9999
6,12 Clock Point,60006,7,Wall,1,9999
0,1 Clock Point,60007,1,Pedestrian,1,9999
1,Other Objects Set-In-Motion,60007,2,Concrete Traffic Barrier,1,9999
0,1 Clock Point,60007,1,Pedestrian,1,9999
1,Other Objects Set-In-Motion,60007,2,Concrete Traffic Barrier,1,9999
0,12 Clock Point,60008,1,Pedestrian,1,9999
1,12 Clock Point,60008,2,Pedestrian,2,9999
0,Non-Harmful Event,60009,1,Ran Off Roadway - Right,1,5555
1,Right-Front Side,60009,2,Guardrail Face,1,9999
2,Undercarriage,60009,3,Curb,1,9999
3,Not Reported,60009,4,Fence,1,9999
4,Non-Harmful Event,60009,5,Vehicle Went Airborne,1,5555
5,Undercarriage,60009,6,Ground,1,9999
0,Non-Harmful Event,60009,1,Ran Off Roadway - Right,1,5555
1,Right-Front Side,60009,2,Guardrail Face,1,9999
2,Undercarriage,60009,3,Curb,1,9999
3,Not Reported,60009,4,Fence,1,9999
4,Non-Harmful Event,60009,5,Vehicle Went Airborne,1,5555
5,Undercarriage,60009,6,Ground,1,9999
0,12 Clock Point,60010,1,Pedestrian,1,9999
0,Non-Harmful Event,60011,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60011,2,Curb,1,9999
2,Non-Collision,60011,3,Rollover/Overturn,1,9999
0,Non-Harmful Event,60014,1,Ran Off Roadway - Left,1,5555
1,Right,60014,2,Tree (Standing Only),1,9999
2,6 Clock Point,60014,3,Tree (Standing Only),1,9999
0,Unknown,60016,1,Pedestrian,1,9999
0,Unknown,60016,1,Pedestrian,1,9999
0,Non-Harmful Event,60017,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,60017,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,60017,3,Cross Centerline,1,5555
3,Non-Harmful Event,60017,4,Ran Off Roadway - Left,1,5555
4,Right,60017,5,Fence,1,9999
5,Non-Collision,60017,6,Rollover/Overturn,1,9999
0,Non-Harmful Event,60017,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,60017,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,60017,3,Cross Centerline,1,5555
3,Non-Harmful Event,60017,4,Ran Off Roadway - Left,1,5555
4,Right,60017,5,Fence,1,9999
5,Non-Collision,60017,6,Rollover/Overturn,1,9999
0,Non-Harmful Event,60017,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,60017,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,60017,3,Cross Centerline,1,5555
3,Non-Harmful Event,60017,4,Ran Off Roadway - Left,1,5555
4,Right,60017,5,Fence,1,9999
5,Non-Collision,60017,6,Rollover/Overturn,1,9999
0,Non-Harmful Event,60022,1,Ran Off Roadway - Left,1,9999
1,12 Clock Point,60022,2,Parked Motor Vehicle ,1,2
2,Not Reported,60022,3,Parked Motor Vehicle ,1,3
3,Non-Collision,60022,4,Fire/Explosion,1,9999
0,Non-Harmful Event,60022,1,Ran Off Roadway - Left,1,9999
1,12 Clock Point,60022,2,Parked Motor Vehicle ,1,2
2,Not Reported,60022,3,Parked Motor Vehicle ,1,3
3,Non-Collision,60022,4,Fire/Explosion,1,9999
0,12 Clock Point,60023,1,Motor Vehicle In-Transport ,2,1
1,Non-Harmful Event,60023,2,Ran Off Roadway - Right,1,5555
2,Left,60023,3,Traffic Signal Support,1,9999
3,Not Reported,60023,4,"Post, Pole or Other Supports",1,9999
4,Non-Harmful Event,60023,5,Cross Median,2,5555
5,Not Reported,60023,6,Parked Motor Vehicle ,2,3
0,Non-Harmful Event,60025,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60025,2,Motor Vehicle In-Transport ,1,2
2,Right-Front Half,60025,3,Bridge Rail (Includes parapet),1,9999
0,Non-Harmful Event,60025,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60025,2,Motor Vehicle In-Transport ,1,2
2,Right-Front Half,60025,3,Bridge Rail (Includes parapet),1,9999
0,Non-Harmful Event,60025,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,60025,2,Motor Vehicle In-Transport ,1,2
2,Right-Front Half,60025,3,Bridge Rail (Includes parapet),1,9999
0,Non-Harmful Event,60026,1,Ran Off Roadway - Right,1,5555
